RunNumber,BeamEnergy,Threshold,GearGeoFile
000703,4.8,6,alignedGear-iter6-run000703.xml
000437,4.8,6,alignedGear-iter2-run000437.xml 
002768,120,45,alignedGear-Edoardo-iter7-run002768.xml
000000,120,45,gear-beforeAlign-ALLPIX-000000.xml
000002,120,45,gear-beforeAlign-ALLPIX-000000.xml
000003,120,45,gear-beforeAlign-ALLPIX-000000.xml
000005,120,45,gear-beforeAlign-ALLPIX-000005.xml
000006,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000008,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000009,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000010,120.0,45,gear-beforeAlign-DESY-15-05-000703.xml
000011,120.0,45,gear-beforeAlign-DESY-15-05-000703.xml
000012,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000013,4.8,45,gear-beforeAlign-DESY-15-05-000703_pre.xml
000014,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000015,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000016,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000017,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000018,4.8,45,gear-beforeAlign-DESY-15-05-000703_pre.xml
000019,4.8,45,alignedGear-iter2-run000019.xml
000022,120,45,gear-beforeAlign-DESY-15-05-000703.xml
#000023,4.8,45,gear-beforeAlign-DESY-15-05-000703_pre.xml
000023,4.8,45,alignedGear-iter6-run000023.xml
#000024,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
#000025,4.8,45,gear-beforeAlign-DESY-15-05-000703_pre.xml
#000025,4.8,45,alignedGear-iter6-run000025.xml
#000026,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000028,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000029,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000030,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
000031,4.8,45,gear-beforeAlign-DESY-15-05-000703.xml
